SCREEN 05: WORLD REPORT — seed1327
=

You are forecasting outcomes for the **Italian Greek** civilization.
Read the world report below, then answer the questions on the following screens.

[EMBED: World report text + territory maps for seed1327]
[Source: human_subjects/worlds/seed1327/world_report/turn_060_report.txt]
[Maps: human_subjects/worlds/seed1327/world_report/turn_060_territory_maps/]

--- BEGIN WORLD REPORT ---

WORLD REPORT TXT v1
Game ID: seed1327
Snapshot turn: 60
Turns analyzed: 1..60
Map size: 78x52

CIVILIZATIONS
ID | Name          | Adjective     | Nation ID
---+---------------+---------------+----------
0  | Italian Greek | Italian Greek | 238      
1  | Illyrian      | Illyrian      | 225      
2  | Egyptian      | Egyptian      | 149      
3  | Numidian      | Numidian      | 361      
4  | Slavic        | Slavic        | 454      
5  | Pirate        | Pirate        | 559      
6  | Barbarian     | Barbarian     | 558      
7  | Roman         | Roman         | 407      
8  | Carthaginian  | Carthaginian  | 90       
9  | Liburnian     | Liburnian     | 280      

CURRENT STATE (TURN 60)
ID | Name          | Score | Rank | Government | Treasury | Population | Techs | Wonders | Cities | Territory | Units | Military | Science | Trade | Food | Shields
---+---------------+-------+------+------------+----------+------------+-------+---------+--------+-----------+-------+----------+---------+-------+------+--------
0  | Italian Greek | 39    | NA   | Despotism  | 544.0    | 22.0       | 9     | 1       | 14     | 178       | 4     | 0        | 60      | 22.0  | 44.0 | 31.0   
1  | Illyrian      | 44    | NA   | Despotism  | 404.0    | 1.0        | 11    | 0       | 1      | 28        | 0     | 0        | 60      | 30.0  | 60.0 | 36.0   
2  | Egyptian      | 42    | NA   | Despotism  | 343.0    | 0.0        | 10    | 0       | 0      | 0         | 0     | 0        | 60      | 35.0  | 70.0 | 41.0   
3  | Numidian      | -1    | NA   | Anarchy    | 0.0      | 0.0        | 9     | 0       | 0      | 0         | 0     | 0        | 60      | 39.0  | 78.0 | 33.0   
4  | Slavic        | -1    | NA   | Anarchy    | 0.0      | 3.0        | 10    | 0       | 2      | 43        | 0     | 0        | 80      | 35.0  | 70.0 | 29.0   
5  | Pirate        | NA    | NA   | NA         | None     | None       | None  | None    | None   | None      | None  | None     | None    | None  | None | None   
6  | Barbarian     | NA    | NA   | NA         | None     | None       | None  | None    | None   | None      | None  | None     | None    | None  | None | None   
7  | Roman         | NA    | NA   | NA         | None     | None       | None  | None    | None   | None      | None  | None     | None    | None  | None | None   
8  | Carthaginian  | NA    | NA   | NA         | None     | None       | None  | None    | None   | None      | None  | None     | None    | None  | None | None   
9  | Liburnian     | NA    | NA   | NA         | None     | None       | None  | None    | None   | None      | None  | None     | None    | None  | None | None   

GOVERNMENT TIMELINE (derived from recordings)
Each entry is a change point (turn number -> new government); the first entry is the first observed government.
0 Italian Greek: 1 Despotism
1 Illyrian: 1 Anarchy; 18 Despotism; 40 Anarchy; 52 Despotism
2 Egyptian: 1 Anarchy; 54 Despotism
3 Numidian: 1 Anarchy
4 Slavic: 1 Anarchy; 30 Despotism; 53 Anarchy
5 Pirate: NA (no changes observed)
6 Barbarian: NA (no changes observed)
7 Roman: NA (no changes observed)
8 Carthaginian: NA (no changes observed)
9 Liburnian: NA (no changes observed)

TREASURY (sampled every 5 turns)
turns: 1, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60
41 | tech_discovered | Italian Greek | Italian Greek discovered Currency | tech_id=20, tech_name=Currency
41 | tech_discovered | Illyrian | Illyrian discovered Code of Laws | tech_id=13, tech_name=Code of Laws
41 | tech_discovered | Egyptian | Egyptian discovered Writing | tech_id=87, tech_name=Writing
41 | tech_discovered | Numidian | Numidian discovered Code of Laws | tech_id=13, tech_name=Code of Laws
42 | city_founded | Italian Greek | Eleia founded by Italian Greek | city_id=192, city_name=Eleia
44 | tech_discovered | Italian Greek | Italian Greek discovered Pottery | tech_id=63, tech_name=Pottery
47 | tech_discovered | Numidian | Numidian discovered Writing | tech_id=87, tech_name=Writing
47 | tech_discovered | Slavic | Slavic discovered Literacy | tech_id=42, tech_name=Literacy
48 | tech_discovered | Egyptian | Egyptian discovered Iron Working | tech_id=38, tech_name=Iron Working
49 | city_founded | Italian Greek | Lokroi Episephyrion founded by Italian Greek | city_id=214, city_name=Lokroi Episephyrion
49 | city_founded | Italian Greek | Metaponton founded by Italian Greek | city_id=213, city_name=Metaponton
50 | tech_discovered | Illyrian | Illyrian discovered Map Making | tech_id=45, tech_name=Map Making
50 | tech_discovered | Illyrian | Illyrian discovered Mathematics | tech_id=48, tech_name=Mathematics
50 | tech_discovered | Illyrian | Illyrian discovered Pottery | tech_id=63, tech_name=Pottery
52 | city_founded | Italian Greek | Thourioi founded by Italian Greek | city_id=228, city_name=Thourioi
52 | government_change | Illyrian | Illyrian changed government from Anarchy to Despotism | from=Anarchy, to=Despotism
52 | tech_discovered | Egyptian | Egyptian discovered Code of Laws | tech_id=13, tech_name=Code of Laws
53 | government_change | Slavic | Slavic changed government from Despotism to Anarchy | from=Despotism, to=Anarchy
54 | city_founded | Italian Greek | Nola founded by Italian Greek | city_id=234, city_name=Nola
54 | city_founded | Italian Greek | Angon founded by Italian Greek | city_id=235, city_name=Angon
54 | government_change | Egyptian | Egyptian changed government from Anarchy to Despotism | from=Anarchy, to=Despotism
54 | tech_discovered | Illyrian | Illyrian discovered Writing | tech_id=87, tech_name=Writing
54 | tech_discovered | Egyptian | Egyptian discovered Ceremonial Burial | tech_id=10, tech_name=Ceremonial Burial
56 | tech_discovered | Illyrian | Illyrian discovered Ceremonial Burial | tech_id=10, tech_name=Ceremonial Burial
56 | tech_discovered | Numidian | Numidian discovered Literacy | tech_id=42, tech_name=Literacy
57 | tech_discovered | Italian Greek | Italian Greek discovered Trade | tech_id=84, tech_name=Trade
57 | tech_discovered | Slavic | Slavic discovered The Republic | tech_id=80, tech_name=The Republic
58 | city_founded | Italian Greek | Barion founded by Italian Greek | city_id=250, city_name=Barion
59 | tech_discovered | Slavic | Slavic discovered The Wheel | tech_id=81, tech_name=The Wheel
60 | tech_discovered | Italian Greek | Italian Greek discovered Writing | tech_id=87, tech_name=Writing
60 | tech_discovered | Slavic | Slavic discovered Warrior Code | tech_id=86, tech_name=Warrior Code

TERRITORY MAPS (PNG)
Turn 10: /home/exedev/Projects/civbench/data/questions/seed1327/world_report/turn_060_territory_maps/territory_turn_010.png
Turn 20: /home/exedev/Projects/civbench/data/questions/seed1327/world_report/turn_060_territory_maps/territory_turn_020.png
Turn 30: /home/exedev/Projects/civbench/data/questions/seed1327/world_report/turn_060_territory_maps/territory_turn_030.png
Turn 40: /home/exedev/Projects/civbench/data/questions/seed1327/world_report/turn_060_territory_maps/territory_turn_040.png
Turn 50: /home/exedev/Projects/civbench/data/questions/seed1327/world_report/turn_060_territory_maps/territory_turn_050.png
Turn 60: /home/exedev/Projects/civbench/data/questions/seed1327/world_report/turn_060_territory_maps/territory_turn_060.png

--- END WORLD REPORT ---
